clip,sample_idx,ts_utc,active,lat_hem,lon_hem,lat_deg,lon_deg,hour,minute,second,year,month,day
20260426000523_000144F.MP4,19,2026-04-26T06:05:43+00:00,A,N,W,40.8427287,-96.7394368,6,5,43,26,4,26
20260426000523_000144F.MP4,20,2026-04-26T06:05:44+00:00,A,N,W,40.8427531,-96.7394368,6,5,44,26,4,26
20260426000523_000144F.MP4,21,2026-04-26T06:05:45+00:00,A,N,W,40.8427897,-96.7394206,6,5,45,26,4,26
20260426000523_000144F.MP4,22,2026-04-26T06:05:46+00:00,A,N,W,40.8428263,-96.739388,6,5,46,26,4,26
20260426000523_000144F.MP4,23,2026-04-26T06:05:47+00:00,A,N,W,40.842867,-96.7393229,6,5,47,26,4,26
20260426000523_000144F.MP4,24,2026-04-26T06:05:48+00:00,A,N,W,40.8428914,-96.7392253,6,5,48,26,4,26
20260426000523_000144F.MP4,25,2026-04-26T06:05:49+00:00,A,N,W,40.8429036,-96.7391113,6,5,49,26,4,26
20260426000523_000144F.MP4,26,2026-04-26T06:05:50+00:00,A,N,W,40.8429036,-96.7389648,6,5,50,26,4,26
20260426000523_000144F.MP4,27,2026-04-26T06:05:51+00:00,A,N,W,40.8428996,-96.7388184,6,5,51,26,4,26
20260426000523_000144F.MP4,28,2026-04-26T06:05:52+00:00,A,N,W,40.8428955,-96.7386556,6,5,52,26,4,26
20260426000523_000144F.MP4,29,2026-04-26T06:05:53+00:00,A,N,W,40.8428914,-96.7384766,6,5,53,26,4,26
20260426000523_000144F.MP4,30,2026-04-26T06:05:54+00:00,A,N,W,40.8428792,-96.7382975,6,5,54,26,4,26
20260426000523_000144F.MP4,31,2026-04-26T06:05:55+00:00,A,N,W,40.8428507,-96.7381185,6,5,55,26,4,26
